"county","county_ascii","county_full","state_name","population","age_median","income_household_median","income_individual_median","home_ownership","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","highschool_or_less","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","unemployment_rate","poverty","health_uninsured"
"Rice","Rice","Rice County","Minnesota",66185,36.5,68584,31174,74,208249,843,31.8,8.9,31.4,40.29999923706055,31.4,18,10.3,28.3,40.6,3.8,9.2,4.8
"Otero","Otero","Otero County","New Mexico",66137,35.8,41988,21871,64.2,111065,792,29.8,16.6,27.3,43.89999961853027,38.7,10.5,6.9,17.4,46.3,7.6,22.1,8.5
"Adams","Adams","Adams County","Illinois",66085,41.5,52993,30499,71.8,128402,713,28.1,7.5,35.4,42.900001525878906,32.1,15.9,9.1,25,38.2,4.4,12.5,4.7
"Oldham","Oldham","Oldham County","Kentucky",65967,38.9,99128,41157,84.7,281869,919,22.5,6.2,20.7,26.90000057220459,30.8,25.1,17.3,42.4,44.1,3.4,5.9,3.5
"Athens","Athens","Athens County","Ohio",65917,29.6,40905,16021,57.8,125473,791,44,10,35.1,45.099998474121094,24.7,14,16.2,30.2,46.4,7.2,30.2,6.1
"Armstrong","Armstrong","Armstrong County","Pennsylvania",65867,46.6,51410,27409,76,110000,666,27.3,9.7,49,58.69999980926514,24.6,11.2,5.5,16.7,45.2,5.9,11.1,4.2
"Columbia","Columbia","Columbia County","Pennsylvania",65715,41,50550,27199,69.2,148973,758,30.8,9.7,43,52.69999980926514,24.4,14,8.9,22.9,41.4,4.6,15,4.4
"Boone","Boone","Boone County","Indiana",65544,38.1,83077,41956,77.1,232180,1011,26.2,6.3,19.5,25.800000190734863,24.9,29.2,20.1,49.3,47.9,1.9,6,4.5
"Nacogdoches","Nacogdoches","Nacogdoches County","Texas",65339,30.9,44847,21426,56.6,127956,768,38.3,17.1,28.6,45.70000076293945,29.8,15.6,8.9,24.5,40,8.7,24.8,17.5
"Spalding","Spalding","Spalding County","Georgia",65306,39.2,47111,24805,62.5,121901,872,32.6,18.1,39.8,57.89999961853027,24.3,11.5,6.3,17.8,40.5,4.9,17.9,14.5
"Marion","Marion","Marion County","Ohio",65299,41.3,47498,23412,66.4,100387,731,30.4,12.1,44.5,56.60000038146973,30.9,7.8,4.8,12.6,38.1,6.6,14.8,5.5
"McCracken","McCracken","McCracken County","Kentucky",65268,42.2,46080,26221,65.1,142355,717,30.8,9.5,31.4,40.89999961853027,34.9,15,9.3,24.3,42.5,3.9,15.8,6.1
"Chaves","Chaves","Chaves County","New Mexico",65144,35.7,43359,22812,68.9,108147,771,28.4,21.8,27.7,49.5,32.5,12,5.9,17.9,35.2,5.1,19.4,10
"Kershaw","Kershaw","Kershaw County","South Carolina",65112,41.1,51479,27414,82.1,128525,775,28.1,12.2,36.5,48.69999980926514,31,12.5,7.8,20.3,39,5.7,14.9,10.5
"Pulaski","Pulaski","Pulaski County","Kentucky",64350,42,39998,21765,69,114382,682,34.7,17.2,35.7,52.900001525878906,30.7,9.4,7,16.4,44.6,7.1,22.7,6
